page_no,title,price,condition,photo_link
2,"Apple CARE MacBook Retina 12"" FAST i5 LAPTOP A1534 SSD HD Latest MAC OS+WARRANTY",$850.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/-9cAAOSwTMhfmU2S/s-l225.jpg
2,Apple iBook G3/366 M6411 | Apple Mac OS X 10.0,$299.99,Refurbished,https://i.ebayimg.com/thumbs/images/g/5hkAAOSwkYpfyUJw/s-l225.jpg
2,DYNAMAC 1st Portable mac 1988 With Electroluminescent Screen Modem,"$500,000.00",Pre-Owned,https://i.ebayimg.com/thumbs/images/g/qWYAAOSw4apdALOR/s-l225.jpg
2,MACBOOK PRO 13 TOUCH RETINA ° CORE i7 ° 16GB RAM 1TB SSD ° 3 YR WARRANTY OS MAC,"$1,121.00",Pre-Owned,https://i.ebayimg.com/thumbs/images/g/WfIAAOSwMYRfgzjn/s-l225.jpg
2,"APPLE MACINTOSH POWERBOOK G4 15"" **READ** ",$99.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/7ggAAOSw7ZlgEZTw/s-l225.jpg
2,"13.3"" Apple MacBook Unibody Core 2 Duo 2.4GHZ 2GB 250 GB Mac OS x 10.10 Yosemite",$350.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/ipwAAOSw-7RVGHKY/s-l225.jpg
2,Macbook Hybrid SSD500 + 1TB RAM 16GB Mac Catalina Linux Ms Office Windows 10 Pro,$558.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/yngAAOSwRBpeesi~/s-l225.jpg
2,Apple A1181 Mac OX 10.6.8  2.1GHz  1GB Ram 120GB HDD ,$80.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/AgcAAOSwurZZFPZy/s-l225.jpg
2,"Apple iBook G3 Clamshell Graphite M2453, Power PC 366Mhz/320MB/ 6GB/Mac OS 9.0.4",$265.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/4jMAAOSwgGhgCx5j/s-l225.jpg
2,"Apple MacBook White 13""  250GB HDD  2.26GHz 8GB MAC OS High Sierra 2017+",$299.99,Refurbished,https://i.ebayimg.com/thumbs/images/g/jNEAAOSwtuVa8KfN/s-l225.jpg
2,New ListingGenuine 512GB SSD For Apple Macbook Air Pro imac Mac Pro 2013-2015 Samsung,$195.65,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/qtcAAOSwEHJgF1JC/s-l225.jpg
2,"Apple MacBook Air 13.3"" Laptop i5 1.8GHz 8GB 128GB Mac OS (MQD32LL/A)",$624.89,Refurbished,https://i.ebayimg.com/thumbs/images/g/~3kAAOSw5YVf3U-S/s-l225.jpg
2,▓ APPLE MACBOOK PRO 15 IN RETINA MAC LAPTOP | QUAD CORE I7 | 1TB SSD OS-x ▓,$849.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/pPwAAOSwD5NdthRg/s-l225.jpg
